servertime,sensortype,deviceid,clienttime,x,y,z
1506846359797,accelerometer,7f43a7eaf750aac,1506846340619,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846341417,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846342216,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846343015,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846343814,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846344614,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846345412,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846346211,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846347011,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846347810,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846348608,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846349408,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846350207,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846351005,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846351804,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846352603,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846353402,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846354202,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846355001,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846355799,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846356598,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846357398,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846358195,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846358999,9.77631,2.23517e-7,0.812348
