servertime,sensortype,deviceid,clienttime,x,y,z
1507663383064,accelerometer,7f43a7eaf750aac,1507663329694,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663330493,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663331292,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663332091,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663332891,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663333689,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663334488,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663335287,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663336086,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663336885,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663337685,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663338485,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663339282,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663340082,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663340880,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663341682,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663342481,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663343280,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663344079,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663344878,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663345677,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663346475,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663347275,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663348073,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663348873,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663349671,9.77631,2.23517e-7,0.812348
